time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.616726721472051e-07,1.3842485762993378e-05,10.003515059682071,0.0038561651736372937,0.00013369756995906812,0.0,-4.832567791221797e-05,0.0008433195637512381,0.11716259822924564,0.020344856616574626,-0.0053812744101751474,0.0,442.0806294462081,441.6371163775962,441.92743788033283,443.600850580788
0.12000000000000001,-8.633699920713666e-06,0.00014997565480820261,10.01231894875561,0.007027895484918112,0.0009333271592169012,0.0,-0.0002774209059321822,0.003985217552428005,0.1762911148487466,0.034492873714482425,0.005086710883562674,0.0,422.9673851307367,423.8678213943121,423.4896755299921,424.7048203281642
0.18,-4.5917057809397454e-05,0.000543488889908784,10.024415254125199,0.012223469538152898,0.0015811459271644068,0.0,-0.0010340074189088251,0.009643378665883915,0.22690529197626824,0.013887581016565259,-0.0026365638534213607,0.0,421.5421642250013,420.8743134476302,421.6610136535445,419.8777629127707
0.23999999999999996,-0.000141341391453658,0.001390904322355947,10.041851524955005,0.01393931557220185,0.0014505821932333518,0.0,-0.002131865309345288,0.018775658597768106,0.3542699297461171,0.02304856940009177,-0.0016558015137694176,0.0,445.7732741207252,445.8534451343846,444.98668617353036,445.7357748555588
0.3,-0.0003075432247632635,0.002819815669339691,10.066724951371436,0.015459939338549056,0.00357850668585602,0.0,-0.0036157065825228115,0.02901059984860858,0.47479851108690807,0.026087030964194506,0.013536701493182108,0.0,443.6612454477501,444.9066242023156,442.67106779174486,442.92106336771144
0.36000000000000004,-0.0005985903071535407,0.004857423576701346,10.096137393622264,0.018074101661128772,0.005575307372782667,0.0,-0.006281159802832666,0.03916070119552208,0.5055977767596544,0.0136036359368649,0.00035372609594157105,0.0,414.91939677247035,413.76049160465226,415.4838381276496,414.38816968020643
0.4200000000000001,-0.0011171189026069838,0.007669865598463391,10.133346938582129,0.02201563921392946,0.006821188286949997,0.0,-0.011140042842421033,0.055087260328678125,0.7345901796601162,-0.006999382148827478,0.011335678356612491,0.0,476.54954188130307,477.38805278583794,476.663300029938,475.08636351413145
0.48000000000000015,-0.0019474586679556261,0.011434114852889669,10.179718309616508,0.026923259453812243,0.014233942381959963,0.0,-0.017241243391369787,0.07089586094992778,0.8110515383965519,-0.03351246466654027,0.038584748574213346,0.0,428.98621288698894,431.2935667100018,430.992906742378,428.746545434252
0.5400000000000001,-0.003280843240275225,0.016248802471318765,10.2310013584225,0.031329593453579996,0.01682104413584984,0.0,-0.027470134290529982,0.09000612830522559,0.8983019576746587,-0.006936858024090579,0.03154654368339407,0.0,434.13457753794916,433.54433397951897,432.3138970729216,434.54692947355926
0.6000000000000002,-0.005260140408046195,0.0222356800778518,10.285225392467638,0.03776915841887174,0.024880912654887233,0.0,-0.039247727821451917,0.11015376122437914,0.9091214195817627,-0.036844630948534005,0.003116154650483571,0.0,410.5372896234268,408.0073269665258,409.30312918049407,406.63301946591486
0.6600000000000003,-0.008184525409185782,0.029699466334454156,10.344948970357247,0.03577199131351527,0.025057093234160277,0.0,-0.05824983623418857,0.13841482450798984,1.0815231152237368,-0.04324692647144389,0.0015351366372762763,0.0,460.7468641027148,460.62181409867105,460.34014203652987,459.8326106743845
0.7200000000000003,-0.012167737799631222,0.03869260548164681,10.41158683127346,0.03399558243833223,0.02538172155879348,0.0,-0.0745601272296903,0.1611939794589777,1.1396859453217274,-0.05442964609915476,-0.0050816503897638905,0.0,425.18237579324364,424.6151924430388,425.2239668381378,424.263580445512
0.7800000000000004,-0.01727888353359932,0.04920321004735195,10.487382718263053,0.03129536492397733,0.025384264721474814,0.0,-0.09581434136367396,0.18880638580343856,1.38658640845323,-0.04730479331401703,-0.0124729909845283,0.0,482.39657744541324,481.8382969357437,483.1539377795812,483.689229718808
0.8400000000000004,-0.023559068657256387,0.0611744716223886,10.573699039237493,0.029728658921870377,0.026023403726712857,0.0,-0.11360229806149766,0.2100580970711036,1.4904960270535685,-0.03609413412736318,-0.026632296823480058,0.0,440.94488013148464,439.77378215893174,439.66142545626474,440.58809146700327
0.9000000000000005,-0.030927618056352597,0.07440303888219112,10.666780223744121,0.027932905164417043,0.02549189618165304,0.0,-0.13194562492826825,0.23069321160723283,1.6120523192571214,-0.030524686724243754,-0.01645645542536224,0.0,446.1052849823542,446.93529455842577,445.3735476330517,445.8283121266914
0.9600000000000005,-0.03932642872202009,0.08876436749654573,10.764699082681284,0.026413393050225054,0.02552750056037567,0.0,-0.14802864112142536,0.2478685543646523,1.6518553865576988,-0.025489710110950272,-0.02880099976746854,0.0,421.15068533394066,420.08166385940854,419.46377029675284,419.9004599050092
1.0200000000000005,-0.04879543949661456,0.10424816788111368,10.869380517668342,0.02613834138745119,0.02393500801783688,0.0,-0.1674223304878402,0.2682335000869064,1.8372490255862084,-0.039017054690477,-0.03420928039182905,0.0,465.7643655151787,465.3409658126924,466.97176594566844,465.91518355561465
1.0800000000000005,-0.05935572294290809,0.1209073900717875,10.98375588977301,0.025244661847069416,0.022083071890143913,0.0,-0.18437916956305186,0.2869859967054843,1.9750407000521382,-0.05345065199647578,-0.03035821604580674,0.0,451.96906148688754,452.2789139816178,452.7621432835933,451.5984152530233
1.1400000000000006,-0.07086084752471405,0.13862256473508452,11.104711566425957,0.02284885811108328,0.021513643898926738,0.0,-0.19905508347151296,0.30326789293276085,2.0566786796358167,-0.04471167752369447,-0.01924216191767649,0.0,434.3836638488963,435.3146090793553,434.80229171972826,435.53208624444954
