episode,total_reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,-413.14058119975147,-0.7891364671327613,0.17272106267671114,0.0,-0.22801739676271637,0.2501908090946614,0.0,-0.44343630010363605,-0.7952016995102381,-15.003293091245006,16.048227192166188,8.334126579123208,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
2,-178.19421128289974,-0.7280883836044104,-0.35353559737730317,0.0,1.942265261182671,0.1584936393282348,0.0,-1.6529457657592337,-0.5160328754108479,-21.98998127882945,16.40217153246741,7.475901891359924,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
3,-140.2793233126569,-0.6082385323639004,-0.2098069244943627,0.0,2.8350616130079693,1.788114831822929,0.0,-0.6736505029109268,-0.6195961510189694,-25.073596042637522,16.83896256301159,8.901008184910678,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
4,-141.9602342889146,-0.3519560625715349,-0.10760553481109399,0.0,-2.675613511767059,2.7866401492128094,0.0,-1.0218256290619154,0.520618104128252,-27.96442754156758,16.260700551750496,3.385508598344136,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
5,-120.61800465532824,-0.012165844778008968,0.0034547851707601497,0.0,-2.169688998889269,1.7873160172102125,0.0,-0.27927085502732196,-0.4989647869481237,-32.63497955658309,16.233428282644677,6.113658216935224,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
6,-100.6306342259642,0.28253717256046207,-0.3181451320384864,0.0,0.5434112973423666,1.041426597928778,0.0,2.075777885557994,-1.2439111130675489,-37.627550441122914,17.486749513783284,2.9739359741332936,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
7,-105.1671877517053,0.7294826153362497,-0.485082886706081,0.0,1.9397929088669645,-1.7116593518016998,0.0,3.1024019228098423,-1.1214498173626375,-40.39880796304576,14.591394912915016,3.580231410814988,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
8,-82.24470862815816,0.6506769376485914,-0.627350478131882,0.0,2.881428261551262,2.1306125728654592,0.0,2.06886182216422,-2.778295325412497,-41.60343554808791,14.82390072459302,4.139654879364283,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
9,-81.99158082790862,0.687966660165994,-0.5608698889865735,0.0,-1.0132484867240557,2.728653749372672,0.0,2.786012387446053,-2.6491947315496818,-44.6221731832225,15.582780251927138,3.570433220365673,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
10,-84.03563930136397,0.6818782929477375,-0.591239796223135,0.0,-1.7772460495451838,1.797387109415375,0.0,2.5380549508861057,-2.5068672928612523,-48.233196231658184,16.8598375496063,-0.09140924884485122,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
11,-85.56757889098853,0.7971922647574659,-0.6473527713286007,0.0,-0.9820459197181073,-0.8553256080671314,0.0,4.825381989306407,-2.348136504311465,-58.55200505096441,15.819256480156476,-3.1474113442631926,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
12,-63.06311569528061,1.030967582956696,-0.36128577087719455,0.0,0.2692061570028237,-1.967437827549432,0.0,6.753090270006127,-1.1662539690586065,-56.90539783278246,13.58001652184199,-7.272026153329002,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
13,-62.570025726805525,1.2648156730209426,-0.036730292988183574,0.0,1.190625104543976,-1.4467938238060576,0.0,6.892236055565318,0.4160924264454231,-53.066343203749554,13.57543926959427,-8.608672868515779,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
14,-62.06709045758179,1.2107027189756754,0.04985019963779529,0.0,-2.915600546174595,-0.5386759736815918,0.0,6.410190398169106,-1.3161876441441804,-61.26580525617224,12.475016857797593,-9.797349808987965,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
15,-63.854606254912056,1.3188878461059508,-0.1720358608276847,0.0,-0.08037697732009264,2.593916690461114,0.0,6.481481155494335,-1.3066536032085143,-59.76938381961678,11.332087574829094,-10.418642219600992,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
16,-63.448374613893634,0.8889553779526042,-0.10850424044972935,0.0,-2.823563979973983,1.7659683415792529,0.0,4.57820069464228,-0.08879256469828356,-70.24809843074905,13.261357613168418,-9.82522535743857,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
17,-64.59142510386737,0.5248315044008669,0.1167693288265901,0.0,-2.7612624108483814,-0.3853982173436332,0.0,1.6302967623889957,-1.985177512691189,-70.38762037030543,14.196228668406414,-7.480376202517292,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
18,-64.28160883828761,-0.0736112138650474,-0.49382113434056624,0.0,-0.11792580603824021,-1.8602264095696164,0.0,-1.5103337986608714,-4.504763980934048,-71.25219291642665,12.801651956237416,-11.18110350959557,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
19,-65.69392333676402,-0.3000480346750174,-1.1200701764982315,0.0,0.3711915984694798,0.9287298087764588,0.0,-2.6237269730917143,-4.998056330328706,-79.01540689093075,12.738548431358224,-8.703486784928621,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
20,-41.160878180774446,-0.31330205879511613,0.03700619601311057,0.0,2.351476824770465,1.0266411427560485,0.0,-2.682912085478412,3.6424651022184755,-90.58373764990915,10.491167624968623,-11.173540972770375,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
21,-42.68031623850182,-0.4209312723714722,0.2975837082402422,0.0,2.4504844390116034,0.46619171559470374,0.0,-2.133593019276848,-0.809097354866688,-93.83911048273598,10.36547149956278,-9.47423444102574,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
22,-43.023613197429924,-0.17745611536262978,-0.8080355607574177,0.0,-1.0015396260615574,-1.2712979094775463,0.0,-0.4191325141666648,-10.629259927080282,-97.33811600230422,9.907814128237574,-10.260571416071631,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
23,-43.85909820535806,-0.1586459846252277,-1.5110503540804436,0.0,-1.2293350855204537,1.0298548754939176,0.0,-0.5100446499707965,-16.863200876948028,-119.21014808548532,10.24341427106848,-9.610430695035669,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
24,-45.90624062560545,0.7082499897615452,-1.6784858642685314,0.0,0.41172237797401223,1.7487954582870202,0.0,8.261367144835988,-13.554953377230706,-100.66121790071112,8.746808584960569,-11.952393477886753,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
25,-44.92563408541588,0.8551069867246921,-1.3979922733157113,0.0,-3.01112536234411,0.6981607214783025,0.0,4.466593988055384,-8.699453058400572,-99.53928532700247,9.631753660309432,-11.768219592474068,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
26,-43.54538351429829,0.4608709182989456,-0.4423818534250027,0.0,2.5810960261494316,1.3022483284746968,0.0,4.441646809849763,-0.5567804953121447,-113.37947381628243,9.547224166809071,-10.671761532268595,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
27,-43.93461818532349,0.045964428507993524,0.32180482459042853,0.0,-0.3816470640681331,-2.6541814101514944,0.0,-3.860866201172027,5.207292270150139,-118.94814469280169,9.830006850004537,-12.29005964189273,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
28,-45.10699403819318,-0.5131862362015446,0.8214430121810533,0.0,2.348116329818332,-1.2031970534891698,0.0,-4.21764062809713,7.803842526092431,-155.84089484704546,8.654209538457764,-11.734759114700465,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
29,-21.369547300480065,-0.08385572192396948,0.05024488457959722,0.0,-0.5828249252465483,-2.630383940109091,0.0,8.960262731299151,-10.30756916510894,-206.00794836194152,5.551682490086187,-7.793979755239954,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
30,-22.974340952736327,0.35901464495406216,-0.7488324582089843,0.0,0.6389483033215555,1.4875906655594164,0.0,-8.972016359070421,-10.88151032508912,-252.1253352249753,5.496646921194456,-7.825431086893143,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
31,-23.244416570258984,-0.42027356594857346,-0.3321622244327628,0.0,2.2123899910541382,-1.315045812792647,0.0,-4.688132722164986,3.744732460359633,-408.958305698823,5.445343088745695,-7.900364286156254,0.0,442.3154897717952,441.2347552675628,440.80713752628407,439.81579861564995
